Decription,Price,Old_price,Discount,Rating,Link,Image link
Hp PC PORTABLE Elitebook CORE i5 6eme RAM 8Go DDR4 - SSD 256Go -Remis a Neuf,"2,999.00 Dhs","5,400.00 Dhs",44%,5 out of 5,https://www.jumia.ma/hp-pc-portable-elitebook-core-i5-6eme-ram-8go-ddr4-ssd-256go-remis-a-neuf-46769925.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/996764/1.jpg?6608
Hp EliteBook 830 G9-i7 1255u-16GB-512G SSD-Win10Pro-Azerty-Garantie 24 Mois-Argent,"16,800.00 Dhs","17,500.00 Dhs",4%,,https://www.jumia.ma/hp-elitebook-830-g9-i7-1255u-16gb-512g-ssd-win10pro-azerty-garantie-24-mois-argent-61523553.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/532516/1.jpg?3050
Lenovo PC Performant-AMD R5-16GB-512G SSD-Win10Pro-Azerty-Garantie12Mois-Noir,"13,060.00 Dhs","14,000.00 Dhs",7%,,https://www.jumia.ma/lenovo-pc-performant-amd-r5-16gb-512g-ssd-win10pro-azerty-garantie12mois-noir-61930215.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/203916/1.jpg?8146
Hp Pc Elitebook CORE i5 6eme RAM 16Go DDR4 - HDD 500Go-Cartable Cadeau-Remis a Neuf,"3,299.00 Dhs","6,500.00 Dhs",49%,,https://www.jumia.ma/hp-pc-elitebook-core-i5-6eme-ram-16go-ddr4-hdd-500go-cartable-cadeau-remis-a-neuf-49693475.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC portable-AMD R7 Pro 5850u-32GB-1TB SSD-Win10Pro-Azerty-Garantie 24 Mois-Noir,"18,100.00 Dhs","19,000.00 Dhs",5%,,https://www.jumia.ma/lenovo-pc-portable-amd-r7-pro-5850u-32gb-1tb-ssd-win10pro-azerty-garantie-24-mois-noir-61930883.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC Portable-AMD R5-16GB-512G SSD-Win10Pro-Azerty-Garantie12Mois-Noir,"13,060.00 Dhs","14,000.00 Dhs",7%,,https://www.jumia.ma/lenovo-pc-portable-amd-r5-16gb-512g-ssd-win10pro-azerty-garantie12mois-noir-61930216.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC performant-AMD R7 Pro 5850u-32GB-1TB SSD-Win10Pro-Azerty-Garantie 24 Mois,"18,100.00 Dhs","19,000.00 Dhs",5%,,https://www.jumia.ma/lenovo-pc-performant-amd-r7-pro-5850u-32gb-1tb-ssd-win10pro-azerty-garantie-24-mois-61930884.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL Latitude 5520-i7 1165G7-RAM 16GB-512G SSD-Win 10 Pro-Azerty-Argent,"15,410.00 Dhs","16,600.00 Dhs",7%,,https://www.jumia.ma/dell-latitude-5520-i7-1165g7-ram-16gb-512g-ssd-win-10-pro-azerty-argent-61166362.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Acer PC PORTABLE Predator Helios 300 Gamer i7-11800H RTX 3060 6GB16 Go/SSD 512 Win10,"16,200.00 Dhs",,,,https://www.jumia.ma/pc-portable-predator-helios-300-gamer-i7-11800h-rtx-3060-6gb16-gossd-512-win10-acer-mpg1366063.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Ordinateur EliteBook CORE i5-6eme RAM 32Go DDR4 - SSD 256Go -Remis a Neuf,"3,999.00 Dhs","5,400.00 Dhs",26%,,https://www.jumia.ma/hp-ordinateur-elitebook-core-i5-6eme-ram-32go-ddr4-ssd-256go-remis-a-neuf-61408342.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"DELL PC portable-14""FHD-i5 1135G7-8GB 512G SSD-Azerty-Win10Pro-Garantie24Mois-Noir","9,550.00 Dhs","10,300.00 Dhs",7%,5 out of 5,https://www.jumia.ma/dell-pc-portable-14fhd-i5-1135g7-8gb-512g-ssd-azerty-win10pro-garantie24mois-noir-48388476.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo ideaPad 3-15ADA05-AMD R3- RAM 8GB-512G SSD-Azerty-Win10pro-Gris,"5,050.00 Dhs","5,700.00 Dhs",11%,,https://www.jumia.ma/lenovo-ideapad-3-15ada05-amd-r3-ram-8gb-512g-ssd-azerty-win10pro-gris-60857324.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Elitebook CORE i5 6eme RAM 16Go DDR4 - HDD 500Go-Cartable Gratuit-Remis a Neuf,"3,299.00 Dhs","6,500.00 Dhs",49%,4.7 out of 5,https://www.jumia.ma/hp-elitebook-core-i5-6eme-ram-16go-ddr4-hdd-500go-cartable-gratuit-remis-a-neuf-48733643.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo Thinkpad T15 Gen 2-i7 1185G7-16GB-512G SSD-Win10Pro-Azerty-Garantie36Mois-Noir,"17,870.00 Dhs","18,600.00 Dhs",4%,,https://www.jumia.ma/lenovo-thinkpad-t15-gen-2-i7-1185g7-16gb-512g-ssd-win10pro-azerty-garantie36mois-noir-61372969.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp PC PORTABLE Elitebook CORE i5 6eme RAM 16Go DDR4 - HDD 500Go -Remis a Neuf,"3,199.00 Dhs","5,400.00 Dhs",41%,1.5 out of 5,https://www.jumia.ma/pc-portable-elitebook-core-i5-6eme-ram-16go-ddr4-hdd-500go-remis-a-neuf-hp-mpg1261043.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Laptop EliteBook CORE i5-6eme RAM 8Go/SSD 256Go Pack Gratuit -Remis à neuf,"3,299.00 Dhs","5,400.00 Dhs",39%,,https://www.jumia.ma/hp-laptop-elitebook-core-i5-6eme-ram-8gossd-256go-pack-gratuit-remis-a-neuf-61393706.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Elitebook CORE i5 6eme RAM 16Go DDR4 - HDD 500Go-Cartable Cadeau-Remis a Neuf,"3,299.00 Dhs","6,500.00 Dhs",49%,,https://www.jumia.ma/hp-elitebook-core-i5-6eme-ram-16go-ddr4-hdd-500go-cartable-cadeau-remis-a-neuf-49759275.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL LATITUDE E5470 PC PORTABLE Corei5-6th RAM-8GB SSD-256 -REMIS A NEUF,"4,250.00 Dhs","6,000.00 Dhs",29%,4.5 out of 5,https://www.jumia.ma/latitude-e5470-pc-portable-corei5-6th-ram-8gb-ssd-256-remis-a-neuf-dell-mpg1256777.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Acer Nitro 5 Intel Core i5-11400H 8Go SSD 512Go 15.6"" LED FHD 144Hz NVIDIA RTX 3050","9,399.00 Dhs","12,199.00 Dhs",23%,,https://www.jumia.ma/acer-nitro-5-intel-core-i5-11400h-8go-ssd-512go-15.6-led-fhd-144hz-nvidia-rtx-3050-61015340.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Ordinateur EliteBook CORE i5-6eme RAM 32Go DDR4 - SSD 512Go -Remis a Neuf,"4,199.00 Dhs","5,400.00 Dhs",22%,,https://www.jumia.ma/hp-ordinateur-elitebook-core-i5-6eme-ram-32go-ddr4-ssd-512go-remis-a-neuf-61401158.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"DELL Latitude 5420-14"" FHD- i7-1185G7-16GB-512G SSD-Azerty-Win10pro-Garantie 24 mois","15,410.00 Dhs","16,000.00 Dhs",4%,,https://www.jumia.ma/dell-latitude-5420-14-fhd-i7-1185g7-16gb-512g-ssd-azerty-win10pro-garantie-24-mois-52770011.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Zbook Power G8 Mobile Workstation-i7 11850H-64G-1TB SSD-Win10Pro-Azerty-Argent,"28,000.00 Dhs",,,,https://www.jumia.ma/hp-zbook-power-g8-mobile-workstation-i7-11850h-64g-1tb-ssd-win10pro-azerty-argent-61166340.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo ideaPad 3-15ALC6-AMD R3- RAM 8GB-512G SSD-Azerty-Win10pro-Rose Gold,"5,350.00 Dhs","6,000.00 Dhs",11%,,https://www.jumia.ma/lenovo-ideapad-3-15alc6-amd-r3-ram-8gb-512g-ssd-azerty-win10pro-rose-gold-60857326.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp 250 G8-15.6p HD-i5 1035G1-RAM 16GB-1TB HDD-Windows 10 Pro-Garantie 12Mois-Noir,"7,699.00 Dhs","8,799.00 Dhs",13%,,https://www.jumia.ma/hp-250-g8-15.6p-hd-i5-1035g1-ram-16gb-1tb-hdd-windows-10-pro-garantie-12mois-noir-42287169.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Asus F556 Ecran 15.6"" HD/ Intel Core i7-6500U/ Nvidia GT 920M 2Go/ 500Gb, 8Gb- Remise à neuf","5,299.00 Dhs",,,,https://www.jumia.ma/asus-f556-ecran-15.6-hd-intel-core-i7-6500u-nvidia-gt-920m-2go-500gb-8gb-remise-a-neuf-54966602.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC portable-AMD R7 Pro 5850u-32GB-1TB SSD-Win10Pro-Azerty-Garantie 24 Mois-Noir,"18,100.00 Dhs","19,000.00 Dhs",5%,,https://www.jumia.ma/lenovo-pc-portable-amd-r7-pro-5850u-32gb-1tb-ssd-win10pro-azerty-garantie-24-mois-noir-61380609.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL Vostro 3500-15.6p HD-i3 1115G4-RAM 8GB-240G SSD-Azerty-Win10Pro-Garantie12Mois-Noir,"5,900.00 Dhs","7,000.00 Dhs",16%,,https://www.jumia.ma/dell-vostro-3500-15.6p-hd-i3-1115g4-ram-8gb-240g-ssd-azerty-win10pro-garantie12mois-noir-52288144.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hp EliteBook x360 1040 G8-14""FHD-i7-1185G7-16GB-512G SSD-Win10 Pro-Azerty- Silver","20,250.00 Dhs","21,000.00 Dhs",4%,,https://www.jumia.ma/hp-elitebook-x360-1040-g8-14fhd-i7-1185g7-16gb-512g-ssd-win10-pro-azerty-silver-51578489.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Asus ROG Zephyrus M16 GU603ZW-008W 48 GO Windows 11,"36,500.00 Dhs","38,900.00 Dhs",6%,,https://www.jumia.ma/asus-rog-zephyrus-m16-gu603zw-008w-48-go-windows-11-61380641.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL PC professionnel-i7 1165G7-RAM 32GB-1TB SSD-Win 10 Pro-Azerty-Argent,"18,520.00 Dhs","19,000.00 Dhs",3%,,https://www.jumia.ma/dell-pc-professionnel-i7-1165g7-ram-32gb-1tb-ssd-win-10-pro-azerty-argent-61374436.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp ZBook Fury 17 G7-i7 10850H-64GB-1TB SSD-RTX 3000-Azerty-Win10pro-Argent,"25,600.00 Dhs","26,800.00 Dhs",4%,,https://www.jumia.ma/hp-zbook-fury-17-g7-i7-10850h-64gb-1tb-ssd-rtx-3000-azerty-win10pro-argent-61014744.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo Thinkpad P14s Gen 2-AMD R7 Pro 5850u-32GB-1TB SSD-Win10Pro-Azerty-Garantie 24 Mois-Noir,"18,100.00 Dhs","19,000.00 Dhs",5%,,https://www.jumia.ma/lenovo-thinkpad-p14s-gen-2-amd-r7-pro-5850u-32gb-1tb-ssd-win10pro-azerty-garantie-24-mois-noir-54071806.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp EliteBook 840 G8-14p FHD-i7 1185G7-16GB-512G SSD-Win 10 Pro- Azerty- Silver,"16,590.00 Dhs","17,000.00 Dhs",2%,,https://www.jumia.ma/hp-elitebook-840-g8-14p-fhd-i7-1185g7-16gb-512g-ssd-win-10-pro-azerty-silver-58852855.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp laptop PAVILION GAMING DUSKERS 21C1 RYZEN 5 5600H,"10,990.00 Dhs","12,990.00 Dhs",15%,,https://www.jumia.ma/hp-laptop-pavilion-gaming-duskers-21c1-ryzen-5-5600h-48698953.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo Thinkpad L14 Gen 3-AMD R5-16GB-512G SSD-Win10Pro-Azerty-Garantie12Mois-Noir,"13,060.00 Dhs","14,000.00 Dhs",7%,,https://www.jumia.ma/lenovo-thinkpad-l14-gen-3-amd-r5-16gb-512g-ssd-win10pro-azerty-garantie12mois-noir-61365237.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hp EliteBook x360 1040 G8-14""FHD-i7-1185G7-16GB-1TB SSD-Win10 Pro-Azerty- Silver","21,620.00 Dhs","22,200.00 Dhs",3%,,https://www.jumia.ma/hp-elitebook-x360-1040-g8-14fhd-i7-1185g7-16gb-1tb-ssd-win10-pro-azerty-silver-54968325.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL Latitude 5520-i7 1165G7-RAM 32GB-1TB SSD-Win 10 Pro-Azerty-Argent,"18,520.00 Dhs","19,000.00 Dhs",3%,,https://www.jumia.ma/dell-latitude-5520-i7-1165g7-ram-32gb-1tb-ssd-win-10-pro-azerty-argent-61166343.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp 250 G8-15.6p HD-i5 1035G1-RAM 12GB-1TB HDD-Windows 10 Pro-Garantie 12Mois-Noir,"7,699.00 Dhs","8,799.00 Dhs",13%,,https://www.jumia.ma/hp-250-g8-15.6p-hd-i5-1035g1-ram-12gb-1tb-hdd-windows-10-pro-garantie-12mois-noir-42252661.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp PC PORTABLE Elitebook CORE i5 6eme RAM 8Go DDR4 - HDD 500Go -Remis a Neuf,"3,100.00 Dhs","6,000.00 Dhs",48%,3.5 out of 5,https://www.jumia.ma/pc-portable-elitebook-core-i5-6eme-ram-8go-ddr4-hdd-500go-remis-a-neuf-hp-mpg1044541.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp Pc portable OMEN by HP 15 dc1000nk (Intel Core i7 9e-16 Go/512Go - Remis à neuf),"10,500.00 Dhs","12,000.00 Dhs",13%,,https://www.jumia.ma/hp-pc-portable-omen-by-hp-15-dc1000nk-intel-core-i7-9e-16-go512go-remis-a-neuf-61629567.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo Thinkpad gen 2-14p FHD-i5 1135G7-8GB-256G SSD-Azerty-Garantie -Noir,"10,000.00 Dhs","10,500.00 Dhs",5%,,https://www.jumia.ma/lenovo-thinkpad-gen-2-14p-fhd-i5-1135g7-8gb-256g-ssd-azerty-garantie-noir-53686450.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"DELL Latitude 5420-14"" FHD- i7-1185G7-32GB-1TB SSD-Azerty-Win10pro-Garantie 24 mois","18,520.00 Dhs","19,000.00 Dhs",3%,,https://www.jumia.ma/dell-latitude-5420-14-fhd-i7-1185g7-32gb-1tb-ssd-azerty-win10pro-garantie-24-mois-61182884.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC performant-AMD R7 Pro 5850u-32GB-1TB SSD-Win10Pro-Azerty-Garantie 24 Mois,"18,100.00 Dhs","19,000.00 Dhs",5%,,https://www.jumia.ma/lenovo-pc-performant-amd-r7-pro-5850u-32gb-1tb-ssd-win10pro-azerty-garantie-24-mois-61380610.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DELL Latitude 5421-14p FHD-i5 11500H-16GB-512G SSD-Azerty-Win10pro-Garantie 24 mois,"14,250.00 Dhs","15,000.00 Dhs",5%,,https://www.jumia.ma/dell-latitude-5421-14p-fhd-i5-11500h-16gb-512g-ssd-azerty-win10pro-garantie-24-mois-52770700.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC PORTABLE Thinkpad-T460 Core i5 RAM 8GB 500 HDD-6ème Génération-Remis a Neuf,"2,999.00 Dhs","4,999.00 Dhs",40%,,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t460-core-i5-ram-8gb-500-hdd-6eme-generation-remis-a-neuf-56732499.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp PC PORTABLE HP 450 G3 6EME GEN-I7-RAM 16G-512 SSD-REMIS A NEUF,"4,599.00 Dhs","5,899.00 Dhs",22%,,https://www.jumia.ma/hp-pc-portable-hp-450-g3-6eme-gen-i7-ram-16g-512-ssd-remis-a-neuf-60053607.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Lenovo PC PORTABLE Thinkpad-T460 Core i5 RAM 8GB 256 SSD-6ème Génération-Remis a Neuf,"3,199.00 Dhs","4,999.00 Dhs",36%,,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t460-core-i5-ram-8gb-256-ssd-6eme-generation-remis-a-neuf-56732523.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp PC PORTABLE HP ELITEBOOK 840 G5 8ÉME GÉN-CORE I5-8Go-256 Go SSD-Remise à neuf,"4,799.00 Dhs","6,599.00 Dhs",27%,,https://www.jumia.ma/hp-pc-portable-hp-elitebook-840-g5-8eme-gen-core-i5-8go-256-go-ssd-remise-a-neuf-56142409.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Hp PC PORTABLE HP ELITEBOOK 840-G3-6ÉME GEN-CORE I5-RAM 16Go-1To-Remis à neuf,"3,599.00 Dhs","4,299.00 Dhs",16%,,https://www.jumia.ma/hp-pc-portable-hp-elitebook-840-g3-6eme-gen-core-i5-ram-16go-1to-remis-a-neuf-60594129.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Hp PC Portable Probook 640 Core i5- 512Gb SSD- 8GB RAM -14""- remis a neuf","2,999.00 Dhs","3,999.00 Dhs",25%,,https://www.jumia.ma/hp-pc-portable-probook-640-core-i5-512gb-ssd-8gb-ram-14-remis-a-neuf-53933175.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/133935/1.jpg?8123
Lenovo PC PORTABLE Thinkpad-T460 Core i5 RAM 8GB 500 HDD-6ème Génération-Remis a Neuf,"2,999.00 Dhs","3,999.00 Dhs",25%,,https://www.jumia.ma/lenovo-pc-portable-thinkpad-t460-core-i5-ram-8gb-500-hdd-6eme-generation-remis-a-neuf-61368924.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/986316/1.jpg?1124
Hp PC PORTABLE HP 450 G3 6EME GEN-I7-RAM 8G-256 SSD-REMIS A NEUF,"3,999.00 Dhs","4,899.00 Dhs",18%,,https://www.jumia.ma/hp-pc-portable-hp-450-g3-6eme-gen-i7-ram-8g-256-ssd-remis-a-neuf-60053601.html,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/635006/1.jpg?6766
